"5","nhân viên giao hàng nói chuyện rất tốt hướng dẫn tận tình cho 5* còn hàng thì hơi xọp bên trong nhưng cũng ko có xấu gì ko sao cả nói chung là đợi dùng rồi mới biết"
"5","hàng đẹp nhưng su dung r mới biết"
"5","hàng đẹp, chất lượng,, nhưng độ bền chưa dùng nên chưa biết,, giáo hàng rất chậm"
"5","Không biết nói thế nào, thật tuyệt vời"
"5","kích cỡ khá to, nhưng nhìn mẫu mã đẹp. ok. dây sạc không sử dụng được (- 1 sao)"
"3","mới nhận chưa bít ra sao.   nhưng hộp để tên khác vs cục sạt.  
ko bít làm thế nào để mở sáng 2 đèn leg.  ??
hay 2 đèn để trag trí cho dep thoi"
"5","tuyệt vời. rất OK"
"4","Nghe quảng cáo là 15000mah,ngày đầu dùng bình thường ko sao.Nhưng những ngày sau sạc rất chập chờn.Màn hình hiện 100% mà mình sạc có một lần là đã hết,50% thì sạc được một lúc là hết.Mình không biết đây là lỗi sản phẩm hay gì nữa.Mong shop giải đáp hộ.Mình đánh giá tạm 4 sao để theo dõi tình trạng tiếp nhé"
"5","Pin trâu, sạc nhanh, mong là ô phải bảo hành, đặt bị delay đợt 2/9 nên mất phải gần tuần nhưng đc cái đóng gói cẩn thận"
"1","Thay nhieu nguoi khen sac ok qua ma sao den toi mua sac ko day chiec dt da can pin roi.qua that vong "
"5","Mỏng cực kì nha, nhẹ nữa, thiết kế sang trọng, hồi giờ mới thấy sạc dự phòng có hai cái đèn pin, chính hãng của shop luôn sài rất thích, sạc chất lượng sạc được nhiều lần, cảm ơn shop rất nhiều. 1 thời gian đ sẽ đánh giá lại "
"5","Hàng đẹp, bao bì chắc chắn, đã mua lần 1 rồi nay mua tiếp lần 2, dung lượng thât khoản 10.000mah, như vậy là tuyệt rồi với gia 100 mấy, ủng hộ shop
Sản phẩm nên mua"
"5","Sản phẩm đẹp như quảng cáo, chất lượng thì mới bắt đầu sử dụng nên chưa biết thế nào, nếu ok luôn sẽ còn ủng hộ dài dài.  Giao hàng nhanh.  "
"5","Nhận xét sản phẩm không dfusng dung lượng, thế là shop gọi tư vấn nhiệt tình, hướng dẫn cách sạc, có chính sách bảo hành, tạm thời cho 5 sao, để sử dụng sạc thêm 1 thời gian"
"5","sạc mỏng nhẹ, dung lượng ổn, dùng 1 thời gian rồi không bị phồng rất chất lượng"
"5","đóng gói kĩ, nhưng bên giao hàng mạnh tay hay sao nê hơi mốp. Bù lại sản phẩm đẹp tốt, dùng lâu mới bt đc dung lượng"
"5","Mới nhận sp hôm nay, cảm quan ban đầu là sản phẩm đẹp, mỏng, nhẹ, đèn pin sáng, sạc thử cho điện thoại thấy vào pin nhanh, không nóng, cảm ơn a nha "
"3","hàng không như mong đợi..sạc k dc 2 lần xiaomi pin 4000mah"
"1","sạc báo 100% mà sạc vào đt đc 60% là hết sạch. giờ sạc điện vào cục sạc k đc nữa. phí tiền"
"5","sản phẩm nhận thì vỏ móp mép lại còn bị bóc 1góc như hình ng giao hàng ng ta cũng công nhận nhận hàng thì hàng tuần mới nhận dc"
"5","Nhận hàng đóng gói rất kỷ, nhìn bề ngoài đẹp, mở ra thấy hơi to tí, đang dùng thử thấy tạm ổn ko biết có đúng dung lượng shop đưa ra ko. Nhìn chung thấy ok cho shop 5 sao, sẽ xem những sản phẩm của shop để ũng hộ"
"5","Đè nghị được đổi hàng.. sạc đang 75% sạc dô được 2% dô máy thì hết pin"
"1","Good product and price. As described. "
"5","hàng tốt lắm quá tốt "
"4","sản phẩm bị lỗi sạc pin không vào mà còn bị trừ phần trăm pin. Muốn đổi hàng được không shop"
"5","Nhìn rất ưng ý,chỉ có cái là chưa dùng nên chưa biết sạc bền hay k thôi.👍🏻"
"5","Hàng chất lượng giống hình, đóng gói rất kĩ. Cảm ơn show."
"5","sạc rất đẹp, tuy nhiên hơi to , sạc vào ổn định , nên mua !"
"5","Pin 15k mAh mà chỉ sạc đầy được 1 lần ip7+ và 1 lần ip6. Trong khi cục mình mua hãng khác 10k mAh sạc đc 3 lần ip7+. Sạc khá bự nhưng so với 15k mAh là nhẹ. Ai mua thì nên cân nhắc. Sạc 2 cổng 2A mà pin vô khá chậm. "
"1",", pin 15.000 mà sạc chỉ có một lần. Lần thứ hai được 60% pin thì hết. Theo các bạn có nên mua hay không."
"1","Đang sạc thì bốc cả khói vậy sao ai dám mua dùng nữa ?"
"5","Pin mẩu đẹp, sạc dùng dk lâu,"
"5","Mẫu mã đẹp,tiện dụng.sac đầy dùng dk rất lâu"
"5","mẩu mã đẹp,sp tốt, k gây chai pin"
"5","Thấy nhiều người mua nên mua thử, mới dùng thấy khá ổm, có sạc nhanh nên mình thích"
"5","Mới nhận đc hàng, delay mấy hôm đợt 2/9 nhưng shop đóng gói cẩn thận, pin dùng thấy tốt..."
"5","mẫu  sạc đẹp  dung lượng  lớn  khong nóng khi sd. sp tốt "
"5","sản phẩm đẹp , pin sạc nhanh , sử dụng được lâu
shop chọn đúng sản phẩm"
"5","Chất lượng sản phẩm đúng như mô tả"
"5","Tốt, thiết kế đẹp nữa"
"5","pin ảo pin 100% 75% tớ 50 sài tí là hết "
"5","Giống mẫu giống với mô tả sản phẩm chất lượng "
"4","Pin xạc 12h mà k đầy sao vậy shop,số100 chớp hoài k dừng là sao shop???"
"5","ban hang toan lua khach,sac du phong dung luong chuan 15000mah,sac chua toi 2 lan ,dt dung luong 4000mah da het,lam an lua doi khach hang"
"5","Shop nói dung lượng 15000 chứ mình thấy k có đúng gì hết mình sạc qua đêm 9h tới 9h sáng mới rút ra mà sạc cục wifi ko dây của mình chỉ có 2300mp mà đã hết 25% rồi "
"5","hoi to so với tưởng tượng. như cũng đẹp "
"5","số này tương đối với giá tiền,sạc ko nóng,hơi nặng số với hình ảnh quảng cáo của shop"
"4","sản phẩm nhận về bị xước quá, nhưng cũng thông cảm cho shop vì mặt quá bóng.thông tin in trên sản phẩm còn thiếu sót quá,ví dụ trên 2 cổng sạc ko ghi điện áp ra bao nhiêu volts và dòng ra bao nhiêu ampe.tôi mua về cứ cắm bừa ko biết có hỏng thiết bị cần sạc ko nữa.đèn led thì tối chứ có sáng lắm đâu mà quảng cáo ghê.nói chung tạm chấp nhận đc.giao hàng thì OK."
"5","sản phẩm  dùng  rất  ok .shop  chỉ  dẫn  nhiệt  tình noi chung  là  rất  hai lòng. với  sản  phẩm  nầy  tạm  thời  chi 5 sao"
"4","Dùng từ siêu mỏng siêu nhẹ tôi tưởng nó nhỏ gọn, không ngờ hơi to hơn so với IPhone X, giao hàng nhanh, đóng gói cẩn thận, chất lượng tạm được."
"4","tôi đã đặt hàng và nhận hàng nhưng ko đúng sp. đề nghị shop gửi lại hàng cho tôi theo đúng đơn đặt hàng."
"5","Pin sạc nhanh. Ngoài ra còn có chức năng hiển thị. Sạc không nóng. Dễ dàng mang theo khi đi ra ngoài Đối với những người thích chơi game thì không sợ hết pin điện thoại. có thể vừa sạc vừa chơi."
"5","chất lượng 5*  shiper dễ thương. hàng đặt hết nhưng shop vẫn gọi dt hỏi có mún đổi mẫu hong .lần sau sẽ giới thiệu mng ủng hộ 👍"
"1","Sạc đầy cục sạc. sạc vào điện thoại 1 lần đã hết sạch pin "
"5","Ok xài được "
"2","Sạc cho pin dự phòng lâu vô, sạc chậm, mau hết pin. Tệ"
"5","sạc dự phòng không như trên quảng cáo hoàn toàn không có cổng nào sạc nhanh hết  rất lo lắng mua hàng của CTY Lazada nữa ."
"5","sản phẩm đẹp đóng gói sản phẩm chắc chắn nhưng hơi to xíu."
"5","san pham tot"
"3","to quá so vs suy nghĩ ban đầu, vướng víu"
"4","sp như cức sạc chưa đc cục pin hết sạch trụi "
"1","Cục sạc to vãi, rinh ko nổi lun. thất vọng"
"5","okkkkkkkkkkkkkkkkkkkkkkkkk"
"5","Sản phẩm tốt tặng shop 5 sao"
"5","sản phẩm đúng với mô tả . Tốt hơn mong đợi"
"5","Đẹp quá mỏng teng à, sạc được nhiều nữa, shop giao hàng siêu nhanh, dễ thương nữa, cho 5 sao luôn"
"5","Tốt "
"4","Tạm được"
"3","sản phẩm trày nhẹ "
"5","kha hai long"
"5","hàng giống hình ❤❤❤"
"5","hàng ik hình vận chuyển tốt sẻ ủng hộ shop tip"
"4","pin dùng cũng ok nhưng hơi to"
"5","Hàng đẹp nhìn rất bắt mắt, tiền nào của đó, "
"5","hàng tốt,có hơi bị chài chúc"
"5","chất lượng thì chưa sd nên chưa kt đc, còn vẻ ngoài thì ok.. cầm chắc tay, giá mềm ổn"
"5","sạc dự phòng thiết kế sang choảnh đó, dung lượng thì xài thử mới biết hihi "
"5","Giao đúng sp. ChấT lượng tốt"
"5","Chất lượng tốt, thiết kế đẹp lắm"
"5","hang to, chat luong trung quoc sac duoc 1 lan chua day dt thi het pin sac"
"5","Đèn ok, sản phẩm tốt, pin thì chưa biết :v"
"5","Sạc to hơn mình nghĩ, nhưng đã sạc thử và thấy cũng ok"
"5","Chưa trải nghiệm "
"5","Oke sạc nhanh "
"5","pin sạc tốt  mẫu  mã  đẹp k nóng  sp chất  lượng "
"5","Sản phẩm giống hình Sạc dùng rất ok sẽ mua ủng hộ shop dài dài"
"5","Nhỏ gọn đúng mô tả, sạc lâu k bị nóng pin hay điện thoại "
"5","mẫu  pin đẹp  nhỏ  gọn tiẹn Dung  "
"5","Product is great and does what it says on the description."
"5","đặt hàng tặng sinh nhật ck nhận được đồng hồ ưng ý quá. Mở ra thấy có hộp đựng đàng hoàn là ưng í lắm rồi, làm quà miễn chê luôn. Hình thức đồng hồ rất đẹp, nhìn cái mê liền, tặng cho ck thích lắm :) còn khen đẹp mà chạy rất tốt nữa, giờ rất chính xác. Cảm ơn shop lắm! hề"
"5","đặt mua đồng hồ cho ck, thấy mẫu của shop khá đẹp, giá cả rẻ nên đặt mua 3 mẫu , shop giao hàng nhanh, đóng gói cẩn thận có hướng dẫn cách dùng cụ thể, mẫu đẹp hơn hình ảnh, ck mình đeo thấy rất chất và sang lại hợp với phong cách của ck nữa, sẽ ủng hộ shop thêm"
"5","Mình đã đặt mua 2 màu mẫu này của shop, nhìn bên ngoài rất đẹp, hộp hịn, đóng gói chắc chắn, đeo tay chất và sang, giá qá rẻ đẹp, mới nhận được đeo đi làm luôn, còn chất lượng sẽ dùng thêm thời gian để kiểm chứng,sẽ ủng hộ shop lâu dài"
"5","đông hồ đep, chất lượng tốt, mẫu mã đep, đáng tiền, đóng gói chắc chắn, tuyệt vời nhé shop"
"5","giao hàng nhanh, đóng gói cẩn thận, chắc chắn, mẫu đẹp hơn hình, đeo tay khá chắc chắn , đồng hồ chạy êm, giá đang được sale nên khá rẻ, mình đã đặt thêm vài mẫu đồng hồ của shop ,đánh giá 5 sao"
"5","Đồng hồ rất đẹp, đóng gói chắc chắn. thực sự hài lòng về sản phẩm này. có gì tôi sẽ quay lại ủng hộ shop"
